"contrasts","estimates","se","z_val","pval","VisP"
"-Early + Recommended = 0",0.122133933709595,0.0421299931687377,2.89897824622064,0.00374380868300871,"**"
"-Early + Recommended_plus = 0",0.158669619305708,0.0596116619716283,2.66172111391939,0.00777422612573222,"**"
"-Early + Late = 0",0.0842917192725061,0.0540511427130606,1.55948079987842,0.118882625449775,""
"-Early + Late_plus = 0",0.18212667438601,0.0603017389085309,3.02025576181592,0.00252561313079864,"**"
"-Recommended + Recommended_plus = 0",0.0365356855961136,0.0370614834949131,0.985812821041778,0.324224973078201,""
"-Recommended + Late = 0",-0.0378422144370886,0.0348785879428344,-1.08496979577016,0.27793503303962,""
"-Recommended + Late_plus = 0",0.0599927406764151,0.0446206808744916,1.34450527200967,0.178785052769858,""
"-Recommended_plus + Late = 0",-0.0743779000332021,0.0375427334568996,-1.98115302708554,0.0475741151243512,"*"
"-Recommended_plus + Late_plus = 0",0.0234570550803015,0.0453335069640463,0.517433056721271,0.604853888754015,""
"-Late + Late_plus = 0",0.0978349551135036,0.0446080838381316,2.19321133515879,0.0282921562393715,"*"
