"","days_from_plant","estimate","P_value","r_squared","adj_r_squared"
"1",-30,160.795596377234,0.0340662171645293,0.409126055373027,0.343473394858919
"2",-29,155.681999052042,0.0384464767181737,0.394713047872313,0.327458942080347
"3",-28,155.628347094304,0.0385002649478156,0.394544891264699,0.327272101405221
"4",-27,157.512052290611,0.0355943295500913,0.403928678093797,0.33769853121533
"5",-26,161.698099229796,0.0278409789417288,0.432568688221538,0.369520764690598
"6",-25,172.30422258583,0.019215895458231,0.473665713079876,0.415184125644306
"7",-24,171.925841704785,0.0188322002987267,0.475828088025978,0.417586764473309
"8",-23,144.088704039311,0.0380622655737976,0.395920030276169,0.328800033640188
"9",-22,153.660694262288,0.0280323020201309,0.431785510158386,0.368650566842651
"10",-21,159.358171108463,0.0258233526481473,0.441114294710305,0.37901588301145
"11",-20,159.16238830385,0.0263462413438188,0.438847460141631,0.376497177935145
"12",-19,154.22409421233,0.0301402461733402,0.423440599993243,0.359378444436936
"13",-18,154.22409421233,0.0301402461733402,0.423440599993243,0.359378444436936
"14",-17,159.121649948757,0.0294747223886763,0.426020922215772,0.362245469128636
"15",-16,167.076332270018,0.0164556806572391,0.490097144094832,0.43344127121648
"16",-15,169.685940311324,0.0141903465800443,0.505378630377577,0.45042070041953
"17",-14,172.141235895718,0.0120835148061003,0.521509839026911,0.468344265585457
"18",-13,169.48344409762,0.0131166012209788,0.513334321936055,0.459260357706728
"19",-12,175.958319103918,0.00991873412801268,0.540690027280012,0.48965558586668
"20",-11,157.482382886093,0.0219604624300844,0.459162354706372,0.39906928300708
"21",-10,164.83080683635,0.016916185905068,0.487204975985392,0.430227751094881
"22",-9,177.260108685163,0.00883952071226309,0.551563402353837,0.501737113726486
"23",-8,194.062406662704,0.00133724318499587,0.699308353254196,0.66589817028244
"24",-7,214.300538026278,0.00037813378215635,0.770969289024867,0.745521432249852
"25",-6,230.575280151169,0.000544901527428633,0.752134056067228,0.724593395630254
"26",-5,226.458424073513,0.000787320399873729,0.731654969491282,0.701838854990314
"27",-4,229.058755007539,0.000975452654304709,0.718993752156339,0.687770835729266
"28",-3,230.953595623537,0.000919973113680943,0.722509659987632,0.691677399986258
"29",-2,231.026761019806,0.000919096523360283,0.722566548328149,0.691740609253499
"30",-1,231.026761019806,0.000919096523360283,0.722566548328149,0.691740609253499
"31",0,230.120093190133,0.000933458830519495,0.721639852240142,0.690710946933492
"32",1,229.738404864156,0.000950024614310173,0.720584939512733,0.689538821680814
"33",2,225.05335292925,0.000812931020286808,0.729798784141581,0.699776426823979
"34",3,220.231082486612,0.00101102083816735,0.716822422042531,0.685358246713923
"35",4,215.427426504616,0.000712863670384268,0.737337958794732,0.708153287549702
"36",5,210.841730946992,0.000668930513680462,0.740915815402131,0.712128683780146
"37",6,211.699158079691,0.000399426157719809,0.768236101967504,0.742484557741672
"38",7,212.550568942079,0.000411861116785228,0.766692765194531,0.740769739105035
"39",8,206.61650889644,0.000447053586059452,0.762516136693017,0.736129040770019
"40",9,206.549198388229,0.000439503512850037,0.763389679779926,0.737099644199917
"41",10,208.15989669218,0.000353567570130623,0.774278195881253,0.749197995423614
"42",11,205.872188627336,0.000335959601697244,0.776763479892653,0.751959422102947
"43",12,201.872027990725,0.000397520709501003,0.768475936982643,0.742751041091826
"44",13,201.558586962799,0.000405669462653184,0.767456553392002,0.741618392657781
"45",14,202.467141508502,0.000401072338825033,0.768029627476326,0.742255141640362
"46",15,185.462199996891,0.00401120642621683,0.620084206021178,0.577871340023531
"47",16,185.999663071195,0.00401841140294998,0.619940111770342,0.577711235300379
"48",17,186.692855305579,0.00396570357131267,0.620999069802733,0.57888785533637
"49",18,186.755350697645,0.00396320875213681,0.621049473386571,0.578943859318412
"50",19,183.326186660675,0.00519598636306648,0.598775704520359,0.554195227244843
"51",20,181.874354484902,0.00500817418173194,0.601872657891386,0.557636286545984
"52",21,173.275442792912,0.00392968167253635,0.621729318897863,0.579699243219848
"53",22,169.765497293875,0.00590206060706955,0.587886067129839,0.542095630144266
"54",23,167.571459600952,0.00745113002045933,0.567267356242357,0.519185951380397
"55",24,166.187043487198,0.00885100493313124,0.551442140516474,0.501602378351638
"56",25,139.370493020706,0.0161640601175663,0.49196333053787,0.435514811708745
"57",26,141.142706978158,0.0158602463781042,0.49393728207928,0.4377080911992
"58",27,141.258358177338,0.0161856775841934,0.491824044596089,0.43536004955121
"59",28,143.594378554224,0.0152125489452191,0.498251709021217,0.442501898912464
"60",29,143.562625449713,0.015194856483021,0.498371666631433,0.442635185146037
"61",30,143.651026341923,0.0151554281221166,0.498639410851619,0.442932678724021
"62",10,208.15989669218,0.000353567570130623,0.774278195881253,0.749197995423614
